n,times
1299,1545
1300,1547
1301,1569
1302,1546
1303,1551
1304,1570
1305,1577
1306,1547
1307,1615
1308,1570
1309,1552
1310,1565
1311,1553
1312,1622
1313,1567
1314,1616
1315,1574
1316,1559
1317,1627
1318,1556
1319,1562
1320,1571
1321,1612
1322,1700
1323,1620
1324,1569
1325,1569
1326,1558
1327,1607
1328,1568
1329,1582
1330,1568
1331,1573
1332,1590
1333,1621
1334,1652
1335,1573
1336,1631
1337,1582
1338,1629
1339,1585
1340,1583
1341,1585
1342,1596
1343,1602
1344,1992
1345,1604
1346,1579
1347,1670
1348,1740
1349,1710
1350,1649
1351,1594
1352,1590
1353,1597
1354,1655
1355,1604
1356,1606
1357,1599
1358,1609
1359,1689
1360,1628
1361,1645
1362,1644
1363,1622
1364,1605
1365,1708
1366,1664
1367,1658
1368,1672
1369,1629
1370,1606
1371,1663
1372,1617
1373,1629
1374,1624
1375,1616
1376,1614
1377,1666
1378,1633
1379,1618
1380,1684
1381,1673
1382,1617
1383,1628
1384,1627
1385,1679
1386,1675
1387,1627
1388,1641
1389,1641
1390,1636
1391,1646
1392,1639
1393,1665
1394,1632
1395,1644
1396,1689
1397,1642
1398,1646
1399,1643
1400,1772
1401,1656
1402,1661
1403,1669
1404,1655
1405,1652
1406,1641
1407,1649
1408,1652
1409,1660
1410,1681
1411,1710
1412,1702
1413,1670
1414,1678
1415,1679
1416,1763
1417,1723
1418,1671
1419,1685
1420,1724
1421,1734
1422,1664
1423,1664
1424,1673
1425,1696
1426,1672
1427,1675
1428,1672
1429,1701
1430,1676
1431,2105
1432,1684
1433,1693
1434,1680
1435,1690
1436,1689
1437,1699
1438,1681
1439,1698
1440,1776
1441,1695
1442,1693
1443,1710
1444,1697
1445,1695
1446,1702
1447,1727
1448,1712
1449,1708
1450,1716
1451,1698
1452,1722
1453,1714
1454,1719
1455,1716
1456,1763
1457,1761
1458,1723
1459,1752
1460,1713
1461,1732
1462,1737
1463,1728
1464,1786
1465,1714
1466,1720
1467,1716
1468,1718
1469,1775
1470,1741
1471,1717
1472,1737
1473,1780
1474,1728
1475,1730
1476,1731
1477,1870
1478,1753
1479,1739
1480,1812
1481,1744
1482,1788
1483,1800
1484,1819
1485,1742
1486,1736
1487,1730
1488,1738
1489,1751
1490,1799
1491,1756
1492,1775
1493,1793
1494,1786
1495,1742
1496,1794
1497,1883
1498,1805
1499,1752
1500,1755
1501,1755
1502,1746
1503,1808
1504,1846
1505,1870
1506,1804
1507,1811
1508,1826
1509,1828
1510,1777
1511,1797
1512,1877
1513,1817
1514,1871
1515,1820
1516,1779
1517,1770
1518,1773
1519,1770
1520,1771
1521,1788
1522,1785
1523,1858
1524,1797
1525,1901
1526,1785
1527,1785
1528,1826
1529,1893
1530,1801
1531,1793
1532,1846
1533,1792
1534,1806
1535,1856
1536,1797
1537,1896
1538,1815
1539,1808
1540,1808
1541,1797
1542,1801
1543,1865
1544,1806
1545,1823
1546,1928
1547,1859
1548,1955
1549,1838
1550,1811
1551,1866
1552,1817
1553,1849
1554,1875
1555,1887
1556,1834
1557,1876
1558,1829
1559,1866
1560,1985
1561,1827
1562,1822
1563,3035
1564,1873
1565,1893
1566,1847
1567,1822
1568,1897
1569,1833
1570,1863
1571,1879
1572,1889
1573,1838
1574,1848
1575,1842
1576,1902
1577,1846
1578,1849
1579,1850
1580,1905
1581,1946
1582,1851
1583,1894
1584,1855
1585,1894
1586,1858
1587,1853
1588,1948
1589,1906
1590,1969
1591,1890
1592,1920
1593,1859
1594,1930
1595,1914
1596,1869
1597,1867
1598,1906
1599,1974
1600,1923
1601,1899
1602,1936
1603,1890
1604,1882
1605,1875
1606,1873
1607,1948
1608,1988
1609,1923
1610,1880
1611,1925
1612,1899
1613,1882
1614,1920
1615,1873
1616,1887
1617,1992
1618,1959
1619,1931
1620,1895
1621,1947
1622,1893
1623,1916
1624,1913
1625,1902
1626,1921
1627,1915
1628,1944
1629,1952
1630,1911
1631,1943
1632,1925
1633,1912
1634,2016
1635,1959
1636,1909
1637,1929
1638,1957
1639,1932
1640,1992
1641,1929
1642,1973
1643,1940
1644,1915
1645,2000
1646,1965
1647,1919
1648,1924
1649,1912
1650,1948
1651,1936
1652,1973
1653,1933
1654,1990
1655,1987
1656,1981
1657,1930
1658,1931
1659,2040
1660,1972
1661,1932
1662,2067
1663,1978
1664,2039
1665,2028
1666,1946
1667,2104
1668,1996
1669,1973
1670,1943
1671,1952
1672,2090
1673,1946
1674,2117
1675,1952
1676,2011
1677,2086
1678,1951
1679,1996
1680,2113
1681,1957
1682,2012
1683,2024
1684,2020
1685,1977
1686,1976
1687,1979
1688,2002
1689,1959
1690,2023
1691,1963
1692,1973
1693,1969
1694,1973
1695,2065
1696,1965
1697,1966
1698,1978
1699,2027
1700,1972
1701,1976
1702,2011
1703,2096
1704,2019
1705,2008
1706,2025
1707,2000
1708,1983
1709,1979
1710,1985
1711,2036
1712,1984
1713,2052
1714,2075
1715,2041
1716,2059
1717,2020
1718,2038
1719,2048
1720,1999
1721,2100
1722,1994
1723,2002
1724,2033
1725,2015
1726,2041
1727,2060
1728,2001
1729,2003
1730,2060
1731,2010
1732,2015
1733,2016
1734,2010
1735,2036
1736,2106
1737,2067
1738,2035
1739,2068
1740,2047
1741,2087
1742,2057
1743,2018
1744,2092
1745,2038
1746,2076
1747,2016
1748,2048
1749,2031
1750,2026
1751,2484
1752,2041
1753,2040
1754,2133
1755,2096
1756,2094
1757,2041
1758,2116
1759,2091
1760,2068
1761,2071
1762,2056
1763,2095
1764,2108
1765,2053
1766,2144
1767,2056
1768,2106
1769,2066
1770,2043
1771,2102
1772,2067
1773,2073
1774,2124
1775,2144
1776,2057
1777,2061
1778,2072
1779,2062
1780,2173
1781,2068
1782,2076
1783,2076
1784,2072
1785,2118
1786,2085
1787,2176
1788,2083
1789,2080
1790,2082
1791,2138
1792,2092
1793,2123
1794,2084
1795,2122
1796,2083
1797,2095
1798,2075
1799,2133
1800,2149
1801,2087
1802,2092
1803,2131
1804,2085
1805,2102
1806,2091
1807,2162
1808,2089
1809,2093
1810,2109
1811,2138
1812,2160
1813,2177
1814,2096
1815,2149
1816,2109
1817,2116
1818,2100
1819,2220
1820,2160
1821,2111
1822,2096
1823,2106
1824,2106
1825,2105
1826,2261
1827,2179
1828,2163
1829,2200
1830,2148
1831,2216
1832,2132
1833,2215
1834,2115
1835,2144
1836,2150
1837,2125
1838,2166
1839,2216
1840,2121
1841,2128
1842,2143
1843,2147
1844,2128
1845,2264
1846,2145
1847,2322
1848,2222
1849,2141
1850,2139
1851,2151
1852,2158
1853,2145
1854,2214
1855,2251
1856,2192
1857,2169
1858,2179
1859,2258
1860,2201
1861,2150
1862,2209
1863,2156
1864,2208
1865,2168
1866,2161
1867,2252
1868,2181
1869,2209
1870,2269
1871,2159
1872,2266
1873,2228
1874,2215
1875,2182
1876,2268
1877,2166
1878,2304
1879,2185
1880,2198
1881,2220
1882,2215
1883,2221
1884,2235
1885,2211
1886,2177
1887,2175
1888,2192
1889,2195
1890,2228
1891,2205
1892,2319
1893,2288
1894,2190
1895,2189
1896,2194
1897,2239
1898,2281
1899,2308
1900,2192
1901,2244
1902,2198
1903,2193
1904,2240
1905,2329
1906,2255
1907,2254
1908,2358
1909,2287
1910,2314
1911,2219
1912,2270
1913,2307
1914,2254
1915,2263
1916,2305
1917,2239
1918,2331
1919,2222
1920,2233
1921,2213
1922,2271
1923,2221
1924,2328
1925,2280
1926,2232
1927,5264
1928,2287
1929,2224
1930,2297
1931,2351
1932,2292
1933,2305
1934,2252
1935,2283
1936,2244
1937,2396
1938,2265
1939,2241
1940,2367
1941,2271
1942,2287
1943,2289
1944,2299
1945,2308
1946,2242
1947,2351
1948,2256
1949,2361
1950,2290
1951,2248
1952,2258
1953,2422
1954,2259
1955,2351
1956,2265
1957,2275
1958,2283
1959,2263
1960,2269
1961,2260
1962,2267
1963,2307
1964,2318
1965,2269
1966,2263
1967,2319
1968,2281
1969,2284
1970,2318
1971,2418
1972,2297
1973,2325
1974,2366
1975,2276
1976,2351
1977,2341
1978,2290
1979,2296
1980,2360
1981,2340
1982,2459
1983,2279
1984,2339
1985,2290
1986,2339
1987,2340
1988,2405
1989,2341
1990,2347
1991,2366
1992,2297
1993,2348
1994,2406
1995,2302
1996,2323
1997,2346
1998,2300
1999,2326
2000,2341
2001,2318
2002,2356
2003,2352
2004,2305
2005,2372
2006,2359
2007,2335
2008,2315
2009,2357
2010,2400
2011,2327
2012,2319
2013,2327
2014,2379
2015,2451
2016,2324
2017,2345
2018,2336
2019,2444
2020,2395
2021,2402
2022,2341
2023,2354
2024,2341
2025,2336
2026,2409
2027,2339
2028,2384
2029,2449
2030,2360
2031,2342
2032,2340
2033,2416
2034,2356
2035,2408
2036,2340
2037,2376
2038,2400
2039,2366
2040,2354
2041,2399
2042,2355
2043,2357
2044,2400
2045,2393
2046,2366
2047,2504
2048,2367
2049,2447
2050,2423
2051,2357
2052,2365
2053,2410
2054,2458
2055,2377
2056,2390
2057,2493
2058,2449
2059,2432
2060,2417
2061,2423
2062,2438
2063,2408
2064,2410
2065,2380
2066,2381
2067,2454
2068,2420
2069,2405
2070,2434
2071,2382
2072,2448
2073,2456
2074,2427
2075,2414
2076,2419
2077,2461
2078,2396
2079,2447
2080,2458
2081,2401
2082,2459
2083,2534
2084,2404
2085,2403
2086,2398
2087,2464
2088,2404
2089,2433
2090,2401
2091,2483
2092,2481
2093,2442
2094,2473
2095,2527
2096,2415
2097,2405
2098,2541
2099,2480
2100,2656
2101,2577
2102,2433
2103,2437
